DateRepConf,HealthStatus,Count
2021-05-04,RECOVERED,5558
2021-05-03,DIED,133
2021-08-02,RECOVERED,8061
2021-08-12,ACTIVE,12265
2021-07-11,RECOVERED,5805
2021-06-29,RECOVERED,4401
2021-08-05,RECOVERED,7882
2021-07-24,RECOVERED,6035
2021-06-14,RECOVERED,6317
2021-08-16,ACTIVE,14513
2021-06-28,RECOVERED,5504
2021-03-07,RECOVERED,3218
2021-07-08,RECOVERED,5360
2021-06-19,RECOVERED,6821
2020-10-25,RECOVERED,2152
2021-04-02,RECOVERED,15045
2021-06-04,RECOVERED,7279
2020-11-23,RECOVERED,1765
2021-06-30,RECOVERED,4388
2020-08-15,RECOVERED,4120
2021-08-14,ACTIVE,14098
2021-03-27,RECOVERED,9383
2021-01-15,RECOVERED,1978
2020-10-19,RECOVERED,2562
2021-06-18,RECOVERED,6700
2021-01-13,RECOVERED,1400
2020-12-02,RECOVERED,1398
2021-03-31,RECOVERED,6003
2021-01-12,RECOVERED,1487
2021-07-09,RECOVERED,5765
2021-02-17,RECOVERED,1142
2020-10-04,RECOVERED,3065
2021-05-22,RECOVERED,6692
2021-06-10,RECOVERED,7330
2021-07-21,RECOVERED,6417
2021-07-19,RECOVERED,5572
2021-03-10,RECOVERED,2812
2021-08-08,ACTIVE,5825
2021-06-25,RECOVERED,6692
2021-03-05,RECOVERED,2990
2021-06-13,RECOVERED,7171
2021-05-09,RECOVERED,7019
2021-03-22,RECOVERED,7887
2021-04-27,RECOVERED,7074
2021-03-28,RECOVERED,9323
2021-03-20,RECOVERED,7857
2021-05-17,RECOVERED,5856
2021-04-26,RECOVERED,8749
2020-12-07,RECOVERED,1534
2021-01-10,RECOVERED,1848
2021-01-29,RECOVERED,1799
2020-10-29,RECOVERED,1678
2021-05-03,RECOVERED,7088
2020-12-01,RECOVERED,1268
2021-01-16,RECOVERED,2016
2020-09-20,RECOVERED,3035
2021-04-09,RECOVERED,12021
2021-07-07,RECOVERED,4182
2021-08-09,ACTIVE,7341
2021-04-29,RECOVERED,8089
2021-03-26,DIED,110
2021-03-30,RECOVERED,9128
2021-07-16,RECOVERED,5575
2021-03-23,RECOVERED,5768
2021-03-17,RECOVERED,4264
